Input Data,

,
Material Data,

,
matID,Soft PE80
density,938
eDyn0degC,2.62
dEdyndT,-0.037
creepModulus,0.3
poisson,0.38

,
Pipe Data,

,
pipeID,250mm_SDR11
diameter,250
sdr,11
notchDepth,0
diameterCreepRatio,1

,
Test Setup Data,

,
fullScale,2
tempDegC,0
p0bar,5
isBackfilled,2
backfillDepth,100
backfillDensity,2200
solidInsidePipe,0.25
waterInsidePipe,0.25

,
Program Control Data,

,
outflowModelOn,2
lambda,3
solutionmethod,2
numberOfSpeedValues,50
elementsInL,10
aDotc0,0.5

,
Log number,aDotc0,Irwin Corten Force,diameterRes0,residualCrackClosure,densityratio,zetaclosure,nodeAtClosure,outflowLength,p1bar,v0,vStarRes,factor,aDotCLfactor,aDotcClfactor_backfilled,maxIterations,iterations,m[0],m[1],alpha[0],alpha[1],error,notConverged,pStarUnchoke,xUnch,pHalfStar,pStar,tStar,tStarUnchoke,simpsonIntegral,unchoked,tStarOutflow2
7,0.04,0.689812,250,0,12.589,2,24,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,2,6.6049,6.60967,0.917413,0.819324,0.171498,1,0,0,0,0,0,0,0,0,0
8,0.04,0.689812,250,0,12.589,2,25,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,3,6.6049,6.60967,0.917413,0.819324,0.147876,1,0,0,0,0,0,0,0,0,0
9,0.04,0.689812,250,0,12.589,2,26,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,4,6.6049,6.60967,0.917413,0.819324,0.125732,1,0,0,0,0,0,0,0,0,0
10,0.04,0.689812,250,0,12.589,2,27,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,5,6.6049,6.60967,0.917413,0.819324,0.105151,1,0,0,0,0,0,0,0,0,0
11,0.04,0.689812,250,0,12.589,2,28,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,6,6.6049,6.60967,0.917413,0.819324,0.0862146,1,0,0,0,0,0,0,0,0,0
12,0.04,0.689812,250,0,12.589,2,29,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,7,6.6049,6.60967,0.917413,0.819324,0.0689806,1,0,0,0,0,0,0,0,0,0
13,0.04,0.689812,250,0,12.589,2,30,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,8,6.6049,6.60967,0.917413,0.819324,0.0534833,1,0,0,0,0,0,0,0,0,0
14,0.04,0.689812,250,0,12.589,2,31,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,9,6.6049,6.60967,0.917413,0.819324,0.0397272,1,0,0,0,0,0,0,0,0,0
15,0.04,0.689812,250,0,12.589,2,32,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,10,6.6049,6.60967,0.917413,0.819324,0.0276864,1,0,0,0,0,0,0,0,0,0
16,0.04,0.689812,250,0,12.589,2,33,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,11,6.6049,6.60967,0.917413,0.819324,0.017307,1,0,0,0,0,0,0,0,0,0
17,0.04,0.689812,250,0,12.589,2,34,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,11,6.6049,6.60967,0.917413,0.819324,0.0085101,1,0,0,0,0,0,0,0,0,0
18,0.04,0.689812,250,0,12.589,2,34,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,11,6.6049,6.60967,0.917413,0.819324,0.0085101,1,1.89293,1.09545,1.38527,0,0,0,6.95322e-310,0,2.12196e-314
19,0.04,0.689812,250,0,12.589,2,34,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,11,6.6049,6.60967,0.917413,0.819324,0.0085101,1,1.89293,1.09545,1.38527,1.77054,0,0,0,1,2.12196e-314
20,0.04,0.689812,250,0,12.589,2,34,3,0.770542,0.187384,0,2.49997,1.00006,1.00079,50,11,6.6049,6.60967,0.917413,0.819324,0.0085101,1,1.89293,1.09545,1.38527,0.988652,0.660329,0,0.661105,1,2.12196e-314
21,0.04,0.689812,250,0,12.589,2,34,3.01361,0.770542,0.190807,0,2.49997,1.00006,1.00079,50,12,6.6049,6.60967,0.917413,0.819324,0.0085101,0,1.89293,1.09545,1.38527,0.988652,0.660329,0,0.661105,1,2.12196e-314
 
1,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.689812,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.689812,250,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.06,0.689812,250,0,12.589,2,20,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,12,6.6049,6.60967,0.917413,0.819324,0.0085101,0,0,0,0,0,0,0,0,0,0
5,0.06,0.689812,250,0,12.589,2,20,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,0,6.59843,6.60916,1.03584,0.830461,0,1,0,0,0,0,0,0,0,0,0
6,0.06,0.689812,250,0,12.589,2,23,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,1,6.59843,6.60916,1.03584,0.830461,0.196834,1,0,0,0,0,0,0,0,0,0
7,0.06,0.689812,250,0,12.589,2,24,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,2,6.59843,6.60916,1.03584,0.830461,0.171762,1,0,0,0,0,0,0,0,0,0
8,0.06,0.689812,250,0,12.589,2,25,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,3,6.59843,6.60916,1.03584,0.830461,0.148082,1,0,0,0,0,0,0,0,0,0
9,0.06,0.689812,250,0,12.589,2,26,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,4,6.59843,6.60916,1.03584,0.830461,0.125878,1,0,0,0,0,0,0,0,0,0
10,0.06,0.689812,250,0,12.589,2,27,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,5,6.59843,6.60916,1.03584,0.830461,0.105238,1,0,0,0,0,0,0,0,0,0
